br_code,Branch,ISP
5301,RAJSHAHI,BDCOM
6104,MITHAPUKUR,BDCOM
6417,KACHAKATA_BAZAR,BDCOM
6202,GOURGRAM,BDCOM
6506,FULCHORY,BDCOM
6317,SARKARERHAT,BDCOM
6705,SAKOA (FG),BDCOM
6314,GOROL,BDCOM
6304,PATGRAM,BDCOM
6803,RANISANKAIL,BDCOM
6802,BALIADANGI,BDCOM
6614,KHANSAMA,BDCOM
5927,KASHINATHPUR,BDCOM
5614,SONAMOSJID,BDCOM
5421,SIKARPUR,BDCOM
5604,CHOITONNOPUR,BDCOM
5806,DHARANJEE,BDCOM
6703,BODA,BDCOM
5507,JOTBAZAR,BDCOM
6005,Ullapara,BDCOM
6501,Gaibanda,BDCOM
5324,KAZIHATA,BDCOM
6401,Kurigram,BDCOM
6301,lalmonirhat,BDCOM
7101,DHAKA,BDCOM
6201,nilphamary,BDCOM
6211,"sayedpur
",BDCOM
6601,Dinajpur,BDCOM
6605,BIRGONJ,BDCOM
7003,Majipara,BDCOM
6801,Thakurgoan,BDCOM
6701,Panchagarh,BDCOM
5701,BOUGRA,BDCOM
6101,RANGPUR,BDCOM
5501,NAOGAON,BDCOM
5601,CHAPAINABAB.,BDCOM
6913,RAJABAJAR,BDCOM
6912,Sherpur,BDCOM
5801,Joypurhat,BDCOM
5401,Natore,BDCOM
5901,Pabna,BDCOM
6001,Sirajgonj,BDCOM
6122,DHANTOLA,ADN
5304,TANOR,BracNet
5305,PACHANDAR,BracNet
5307,GODAGARI Raj,BracNet
5314,BOROGACHI,Bracnet
5315,MOLLAPARAHAT,BracNet
5316,ALOKNAGAR,BracNet
5317,KALIAGONJHAT,BracNet
5318,MOCHMOIL,BracNet
5319,KAKONHAT,BracNet
5320,MOUGACHI,BracNet
5321,RAJABARI,BracNet
5322,KAMARGOAN,BracNet
5326,DAOKANDI,Bracnet
5418,JAMNAGAR,BracNet
5502,SHAILGACHI,BracNet
5503,PAHARPUR,BracNet
5504,KIRTIPUR,BracNet
5505,DUBOLHATI,BracNet
5508,SATIHAT,BracNet
5509,PRASADPUR,BracNet
5510,NEYAMOTPUR,BracNet
5511,HAJINAGAR,BracNet
5512,MAHADEBPUR,BracNet
5513,PATNITOLA,BracNet
5514,DHAMOIRHAT,BracNet
5515,RANGAMATIHAT,BracNet
5516,BADALGACHHI,BracNet
5517,PORSHA,BracNet
5518,SAPAHAR,BracNet
5520,UTTARGRAM (FG),BracNet
